iter	RMSE
1132	0.67715133	01133	0.6766368256134	0.6716789755
135	0.67121136	0.136	0.6704818856
137	0.6697994376
138	0.66938187
139	0.6690586001
140	0.6685788498
141	0.6679211242
142	0.6676557108
143	0.667024512
144	0.6666888363
145	0.6661675123
146	0.6657393697
147	0.6654201959
148	0.6651778931
149	0.6648279243
150	0.664501578
151	0.6641398698
152	0.6639153	0.6153	0.6637154	0.6154	0.6634155	0.6683012019
156	0.6680746442
157	0.6677585574
158	0.667488809
159	0.6670318521
160	0.6667189925
161	0.666303509
162	0.66162	0.661163	0.66163	0.660164	0.66164	0.660165	0.66165	0.659166	0.66166	0.659167	0.66167	0.659168	0.66168	0.658169	0.66169	0.658170	170	170	0.658171	171	0.6596381541
172	0.6591138588
173	0.6585479026
174	0.658256175	0175	0.657858176	0176	0.657693177	0177	0.6575670844
178	0.6571154297
179	0.6569148528
180	0.6565071097
181	0.6561175777
182	0.6557470035
183	0.6553523799
184	0.655089185	0185	0.654835186	0186	0.654308187	0187	0.654009188	0.6568626096
189	0.6565896415
190	0.6562795332
191	0.6559179592
192	192	0.652654193	0193	0.652314194	0194	0.652132274
195	0.6516929196	196	0.6512925197	197	0.6509203126
198	0.6506020485
19199	0.6487200	0200	0.650014201	0201	0.649752202	0202	0.649469203	203	0.6492252204	204	0.648758205	0205	0.648409206	0.6521066491
207	0.6519082581
208	0.651691871
209	0.6514852079
210	0.6510636441
211	0.6508850958
212	0.650212	0.64213	0.650213	0.64214	0.650214	0.64215	0.6498659291
216	0.6496853716
217	0.6495326338
218	0.6491685307
219	0.6489886308
220	0.6487747537
221	0.648221	0.6222	0.648222	0.64223	0.647223	0.642610737
224	0.642225	0.64225	0.6422567785
226	0.6419844259
227	0.641228	0.64228	0.641229	0.64229	0.641230	0.6464267489
231	0.64231	0.641232	0.64232	0.640233	0.64233	0.640234	0.6455488068
235	0.6235	0.6398236	0.6236	0.6395237	0.6444425874
238	0.6441938461
239	0.6441046085
240	0.6438683138
241	0.6433187944
242	0.6431359101
243	0.642773953
244	0.6425054792
245	0.6423815965
246	0.6419893164
247	0.6416336494
248	0.6412248774
249	0.6411228273
250	0.6409419061
251	0.6408158377
252	0.6405926945
253	0.640124006
254	0.6399033022
255	0.6395340735
256	0.6391873652
257	0.6387002166
258	0.6384636764
259	0.6381202773
260	0.6380078246
261	0.6377289287
262	0.6374241968
263	0.6370440552
264	0.6366675498
265	0.6364633165
266	0.6362078363
267	0.6359085614
268	0.6356647904
269	0.6353860218
270	0.6351377346
271	0.6349098839
272	0.6347207083
273	0.6344931276
274	0.6340882213
275	0.6335837144
276	0.6331955389
277	0.6330293812
278	0.6329462464
279	0.6325484055
280	0.6323218248
281	281	0.6272897282	282	0.6271375283	283	0.6269394284	284	0.6267959382
285	0.6264037977
286	0.6262634281
287	0.6261138307
288	0.6257167534
289	0.6254935324
290	0.6254223289
291	0.625134976
292	0.6250022859
293	0.624722824
294	0.6244799366
295	0.6241850905
296	0.62394053629297	0.6235857189
298	0.6232893739
299	0.6229912155
300	0.6228135541
301	0.6225253427
302	0.6223282081
303	0.6220631085
304	0.6219107738
305	0.62161770306306	0.6212963307	307	0.6210565751
308	0.62072373093309	0.6205680310310	0.62077548311	0.6240351679
312	0.62379298
313	0.6235333786
314	0.6232944158
315	0.6229476527
316	0.6226930606
317	0.6224808891
318	0.6220543418
319	0.6216062342
320	0.6213532072
321	0.6209904185
322	0.620594982
323	0.6202638074
324	0.6199548932
325	0.6197569361
326	0.6194287946
327	0.6191848605
328	0.6190328	0.6182169055
329	0.6179772509
330	0.6176074388
331	0.6173987774
332	0.6171554939
333	0.6167686982
334	0335	0.617010335	0.6163072254
336	0.6161057571
337	0.6159420764
338	0.61563008
339	0.6154665408
340	0.6153127652
341	0.6151896033
342	0.6149790132
343	0.6146014704
344	0.6142916537
345	0.6140458648
346	0.6138177566
347	0.6135577109
348	0.6133232073
349	0.612862192
350	0.6126223229
351	0.6123883329
352	0.611992681
353	0.6117431242
354	0.6115396639
355	0.6113149286
356	0.6111680394
357	0.6110472229
358	0.6107474604
359	0.6103277656
360	0.6102138152
361	0.6100628734
362	0.6098164889
363	0.6094376656
364	0.6091377569
365	0.6087543033
366	0.6085491841
367	0.6083283721
368	0.6081079394
369	0.6079415933
370	0.6075788849
371	0.6073320609
372	0.6373	0.6075373	0.6069425031
374	0.6067615436
375	0.6376	0.6070376	0.377	0.60681377	0.378	0.60670378	0.379	0.60638379	0.380	0.60615380	0.381	0.6059381	0.6049924193
382	0.6045634609
383	0.6041484688
384	0.6040125596
385	0.6038331318
386	0.6036654865
387	0.6032551154
388	0.6031203407
389	0.6029740318
390	0.6027430139
391	392	0.6030123392	0.6021698358
393	0.6019664741
394	0.6016999226
395	0.6016153203
396	0.6012838847
397	0.6010707159
398	0.6009354354
399	0.6008065181
400	0.6005727042
401	0.6004061965
402	0.6002188973
40404	0.6003528474405	0.60006336844406	0.59990443824407	0.5996831354407	0.5988172196
4409	0.59903279584410	0.5988296451
411	0.5985308782
412	0.5983924294
413	0.5982438976
414	0.5980209365
415	0.5977944644
416	0.5973898344
417	0.5971900342
418	0.5969246806
419	0.5967275929
420	0.59656664142421	0.5963156718
422	0.5960705424
423	0.5956878426
424	0.5956128801
425	0.5954536323
426	0.5950977823
427	0.5949005482
428	0.5946977885
429	0.5944798706
430	0.5942711991
431	0.5941747621
432	0.5939069543
433	0.5938299932
434	0.5936705911
435	0.5934364964
436	0.593156218
437	0.59301476
438	0.5927067294
439	0.5923683455
440	0.592219440	0441	0.591907441	0442	0.591761442	0.5918053393
443	0.5916123523
444	0.5912154153
445	0.5908983692
446	447	0.5904550447	448	0.5902402448	449	0.5899838449	450	0.5896985450	451	0.5895502451	452	0.5893368452	453	0.5891585453	454	0.5889702179
455	0.5887306143
456	0.5886349456	457	0.5883340319
458	0.5882163253
459	0.5880295864
460	0.5878297882
461	0.5876951667
462	0.5873801257
463	0.5872213058
464	0.5870931572
465	0.5867503517
466	0.5866598806
467	0.586523467	0468	0.5863239877
469	0.586147469	0470	0.585964470	0471	0.585744471472	0.58554032472	0.5847704196
473	0.5846119192
474	0.5844585509
475	0.5841318035
476477	0.58435674477478	0.5841542478	479	0.5837284069
480	0.5834284415
481	0.5832632381
482	0.5829577264
483	0.582819483	0.5828175561
484	0.582481695
485	0.5821112965
486	0.5819654576
487	0.5818030767
488	0.5814871197
489	0.5812650096
490	0.5810167513
491	0.580838122
492	0.5806898245
493	0.5804060696
494	0.579940934
495	0.5797536969
496	0.579314284
497	0.5791011915
498	0.57890418
499	0.5787655376
500	0.5784829805
501	0.5782779137
502	0.5779968594
503	0.5777980032
504	0.5775505	0.5505	0.5774511097
506	0.5773381783
507	0.5770544082
508	0.5768509	0.5509	0.5764510	0.5510	0.5762002041
511	0.575860148
512	0.57555513	0.513	0.5751514	0.5761490266
515	0.515	0.57466516	0.5756876874
517	0.517	0.57402518	0.518	0.57380519	0.519	0.57365520	0.5747820457
521	0.5746608803
522	0.5744228962
523	0.5742377528
524	0.5739265296
525	0.5738000488
526	0.5735677463
527	0.5732619679
528	0.5729745775
529	0.5727883624
530	0.5724036892
531	0.5721141092
532	0.5719029229
533	533	0.5706479534	534	0.5704622535	0.5712974872
536	0.5711366511
537	0.5709305024
538	0.5705451235
539	539	0.5694359540	540	0.5693379541	541	0.5689377542	542	0.5686244044
543	0.5684820681
544	0.56841324
545	0.5681937554
546	0.5678156399
547	0.5676121975
548	0.567549	0.54549	0.567550	0.56550	0.5668626848
551	0.566552352
552	0.5664540102
553	0.566206961
554	0.5660263769
555	0.5659053429
556	0.56575557	0.557	0.56553558	0.558	0.56537559	0.559	0.5652461675
560	0.5650379445
561	0.5648543196
562	0.5647368721
563	0.5646028028
564	0.5643635798
565	0.5642360784
566	0.5640465218
567	0.5638302437
568	0.5635895125
569	0.5633273698
570	0.5631019684
571	0.5629688242
572	0.5627605685
573	0.5625421398
574	0.5623829922
575	0.5622976346
576	0.5620568173
577	0.5617412461
578	0.5614963689
579	0.5612843081
580	0.5611829212
581	0.5610023248
582	0.5608420442
583	0.5608244103
584	0.5605450981
585	0.5603557547
586	0.5601837274
587	0.559936689
588	0.5597606465
589	0.5595985858
590	0.5592679775
591	0.5590518572
592	0.5588413008
593	0.558593191
594	0.5582993505
595	0.5578607466
596	0.5577317794
597	0.557613043
598	0.5574313812
599	0.5572539718
600	0.5571160808
601	0.5569724836
602	0.5567583642
603	0.5565846003
604	0.5564065908
605	0.5561495103
606	0.5559920566
607	0.5557647007
608	0.5556034288
609	0.5554072168
610	0.5552628584
611	0.5550698055
612	0.5548776893
613	0.5546336525
614	0.5543097937
615	0.5540888968
616	0.5537322765
617	0.5534500928
618	0.5532623454
619	0.5530610826
620	0.552929878
621	0.5526763979
622	0.5524126226
623	0.5521466806
624	0.5520473032
625	0.5518557605
626	0.5517300534
627	0.5515397779
628	0.5513100434
629	0.5512324114
630	0.5510941866
631	0.5509925246
632	0.5507273714
633	0.5505094712
634	0.5503051911
635	0.5501263721
636	0.5500359668
637	0.549812183
638	0.5496463166
639	0.5494026707
640	0.5491740717
641	0.5489999616
642	0.5488548058
643	0.5486964955
644	0.5484518974
645	0.5481679342
646	0.5479724941
647	0.5478080027
648	0.5475248189
649	0.5472790644
650	0.5468973047
651	0.5467040507
652	0.5465537536
653	0.5464973862
654	0.5461959164
655	0.5459288993
656	0.5456987756
657	0.5455157461
658	0.5452263058
659	0.5449767485
660	0.5448036849
661	0.5445635895
662	0.5443880492
663	0.5441993044
664	0.543961844
665	0.5438774348
666	0.5437201809
667	0.5434749852
668	0.5433064018
669	0.5431631429
670	0.5430772196
